species_name,latitude,longitude,location_description,depth_range,,,,
,,,,,,,,
Eptatretus deani,NA,NA,"South-eastern Alaska to Islas San Benito, central Baja California",52-2743 m,,,,
Eptatretus fritzi,NA,NA,"Isla Guadalupe, central Baja California",182-2743 m,,,,
Eptatretus mcconnaugheyi,NA,NA,"Two populations: one from Santa Monica Bay, southern California to Islas de Cedros and San Benito, central Baja California, and one in the lower portion of the Gulf of California",42-415 m,,,,
Eptatretus stoutii,52°38'N; 26°372'N,130°00'W,"Hecate Strait, British Columbia to southern Baja California",16-1247 m,,,,
Myxine circifrons,NA,NA,"San Francisco, northern California to north-central Chile",about 700-1860 m,,,,
Myxine hubbsi,NA,NA,Southern California to Chile,about 1100-2440 m,,,,
Entosphenus tridentatus,NA,NA,"Honshu and Hokkaido, Japan; eastern Chukchi Sea and Bering Sea to Punta Canoas, northern Baja California, and likely to Isla Clarión, and Islas Revillagigedo, Mexico. Southernmost freshwater occurrence is currently in the Big Sur River, central California",near surface to 1508 m,,,,
Lampetra ayresii,NA,NA,"Tee Harbor, south-eastern Alaska to San Francisco Bay, northern California","at sea, perhaps to 119 m",,,,
Lethenteron camtschaticum,NA,NA,"White Sea and coasts of Barents Sea eastward off Siberia and Alaskan coasts to Beaufort Sea off Anderson River, Canada, and south through Chukchi and Bering Seas to Honshu, Japan, and Korean Peninsula in western Pacific Ocean; Kenai Peninsula, Gulf of Alaska in eastern Pacific; East Finnmark in eastern Atlantic",at sea to 50 m,,,,
Harriotta raleighana,32°16.3'N; 9°26'N; 3°47’S,119°04.1'W; 85°29'W; 81°28’W,"Southern California to Gulf of California; Colima, Mexico; Puntarenas, Costa Rica; Peru",at least 350-2600 m,,,,
Hydrolagus colliei,9°26’N,85°30’W,"Western Gulf of Alaska to Cabo Blanco, Costa Rica; northern Gulf of California",intertidal to 1593 m,,,,
Hydrolagus melanophasma,NA,NA,"Monterey Bay, central California to Gulf of California; to Valdivia, Chile",31-1903 m,,,,
Hydrolagus trolli,NA,NA,"Australia, New Caledonia, New Zealand, Hawai'i; central and southern California",612-2064 m,,,,
Heterodontus francisci,NA,NA,"Bolinas, northern California to Gulf of California; reported to Colombia, probably Ecuador, and Peru",intertidal to 201 m,,,,
Heterodontus mexicanus,NA,NA,"Bahía Magdalena, southern Baja California into the Gulf of California; possibly to northern Peru",intertidal to 67 m,,,,
Ginglymostoma unami,NA,NA,"Southernmost Baja California into Gulf of California to Máncora, Peru",intertidal to at least 55 m,,,,
Rhincodon typus,41°10'N,124°15'W,"Western Pacific Ocean at least as far northward as just north of Hokkaido Island, Japan; Patrick's Point, northern California to northern Chile and Islas Galápagos",descends to in excess of 1928 m,,,,
